id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet
196816	5	6	1	5760.615202	24260.758557	30008.267407	0	30021.373759000002	13.484365638326224	1.35	16.39	100%	98%	1.2005	1.2006	0.0001	1.2006	0x4deb56a42fc63650b2f0bfb9abe1850e3a091371
45099	-4	-3	1	1898.210869	3653.344251	0	5550.953337	5551.55512	2.4966516683398456	1.35	16.41	100%	100%	0.9996	0.9997	0.0001	0.9997	0x23777a214af90185fa59fe692daff609dd02ab90
73512	1	2	1	1599.999999	1082.552428	2682.422343	0	2682.5524269999996	2.4192237100034157	1.35	16.46	52%	38%	1.2001	1.2002	0.0001	1.2002	0xdda42f12b8b2ccc6717c053a2b772bad24b08cbd
113824	-3	-2	1	236.513349	212.024862	0	448.484681	448.53821100000005	0.2019617386510507	1.35	16.43	100%	100%	0.9997	0.9998	0.0001	0.9998	0x01ca0fae5480ba25b08c51496bf6c485c2289fbc
169931	2	3	1	18221.329759	82497.245239	100698.700476	0	100718.574998	90.1991595726737	1.34	16.34	100%	95%	1.2002	1.2003	0.0001	1.2003	0xbc6565913a8c36d110a59927b3f3aed9a94a43f7
192468	5	6	1	43447.712925	39000.773558	82428.055324	0	82448.486483	73.70459739883951	1.34	16.31	92%	91%	1.2005	1.2006	0.0001	1.2006	0x30b3d95e24ea00f5fb4b9bdf4f714159d9d793c2
196901	5	6	1	29982.665555	126319.878753	156234.302343	0	156302.544308	69.56539231625834	1.34	16.25	96%	92%	1.2005	1.2006	0.0001	1.2006	0x897a7f6af47881c62d7ca7e3dc5bd8a1341ad8ae
168365	2	3	1	25083.608928	29396.431537	33596.366541	20882.098222	54480.040465	48.61425024794356	1.34	16.29	91%	83%	1.2002	1.2003	0.0001	1.2003	0x977762a5d4f5b334ffe4eb4f05b2c6847ff7348d
72739	-1	3	4	12096.479744	18500	30596.092688	0	30596.479744	13.656808511711304	1.34	16.29	93%	90%	0.9999	1.2003	0.0004	1.2001	0x81db2dfd33b24419f0f715e331f678411eb1ec30
61603	-3	-1	2	6999.999999	3502.393622	1803.535293	8697.996143	10502.393621	4.675385002506114	1.34	16.25	77%	61%	0.9997	0.9999	0.0002	0.9998	0x35621ac5925e4f52e5ecbb10ce7202fbfacd98b1
193015	5	6	1	2127.590828	1197.485342	609.06001	2716.863664	3325.07617	1.486633400432358	1.34	16.32	100%	100%	1.2005	1.2006	0.0001	1.2006	0x7e585b7de11fceeeb0dca46850d13026ea2678d9
113851	-3	-2	1	162.318485	145.512101	0	307.793849	307.83058600000004	0.1372298917717959	1.34	16.27	100%	100%	0.9997	0.9998	0.0001	0.9998	0xd532023ecb73229f5fd47206929b364311f282c1
204806	2	3	1	22363.720056	36481.405952	56440.379237	2396.769354	58845.126008	52.22940086167213	1.33	16.20	92%	86%	1.2002	1.2003	0.0001	1.2003	0x788b8b3e7063d17fb0c6dfdbf26d45b82f51c82c
133942	7	12	5	91.207738	46.258842	0	137.560933	137.46658000000002	0.06074532841410781	1.33	16.13	100%	100%	1.2007	1.2012	0.0005	1.2010	0x6ba7b6406e12a4c6dc6f96c4c7da06c9ddbf3022
110075	-1	0	1	530428.773736	440417.779873	970879.482642	0	970846.5536089999	426.2880976280238	1.32	16.03	100%	98%	0.9999	1.2000	0.0001	1.2000	0xa05e21550eb86462388783047da318d2de20bbda
183950	1	2	1	320386.979059	10972.741972	0	331408.310736	331359.72103099996	146.31356449825017	1.32	16.12	76%	54%	1.2001	1.2002	0.0001	1.2002	0x02bb11ac6121de64fb931219712eb0073c182174
192432	5	6	1	84100.208006	76754.825597	160814.773792	0	160855.033603	141.98838703684717	1.32	16.11	89%	90%	1.2005	1.2006	0.0001	1.2006	0xbefe67542bab11de3ca315163a93afb116bfb119
61835	-3	-2	1	22908.532778	41057.580413	0	63961.122089	63966.113191000004	56.48923173674195	1.32	16.12	47%	18%	0.9997	0.9998	0.0001	0.9998	0xefa7abb07b8c53fa221f8327e383734e3b983d09
81928	-2	-1	1	44883.183771	21662.177943	66549.341698	0	66545.361714	29.3699757986093	1.32	16.11	100%	99%	0.9998	0.9999	0.0001	0.9999	0x9e0ef1bc1a3411001a30ea016faeab76d28bf8e3
101256	1	2	1	4716.515599	5200.273066	9916.132372	0	9916.788665	8.730929190111054	1.32	16.07	83%	75%	1.2001	1.2002	0.0001	1.2002	0x99b6a44fa3d3e0d3f33464ffac5710f31c3db580
110086	-1	0	1	4666.803966	4798.22492	9465.386334	0	9465.028886	4.165772225610699	1.32	16.06	73%	75%	0.9999	1.2000	0.0001	1.2000	0x3352cfe4b92b354c9e56382a6fc6d7462fea9ba2
192738	5	6	1	1195.377857	677.757	1872.783828	0	1873.134857	1.6441030858258194	1.32	16.02	97%	93%	1.2005	1.2006	0.0001	1.2006	0x77b70eb23449bd282aeebf12c7b657cb64af7740
45101	-4	-3	1	928.467508	2760.019609	0	3688.196953	3688.4871169999997	1.625471738323724	1.32	16.09	100%	100%	0.9996	0.9997	0.0001	0.9997	0x23777a214af90185fa59fe692daff609dd02ab90
144554	11	12	1	123512.74132	253180.195535	251425.034548	125120.700822	376692.936855	163.8615153018242	1.31	15.88	100%	100%	1.2011	1.2012	0.0001	1.2012	0x02bb11ac6121de64fb931219712eb0073c182174
45478	-3	-2	1	141998.912977	66027.121458	85805.861481	122205.860337	208026.03443499998	91.05935739349248	1.31	15.98	100%	100%	0.9997	0.9998	0.0001	0.9998	0x5ac37964ebcbc68efb51497031ccc355a137dcc5
197081	5	6	1	9104.622385	41232.549671	50314.874364	0	50337.172056	21.93229654879071	1.31	15.90	77%	79%	1.2005	1.2006	0.0001	1.2006	0xde2f29139346eda24dabcce90b1ecf2d8ff7d829
43633	-6	-1	5	578.70892	186.64098	193.589283	571.624966	765.3499	1.3317491937492445	1.31	15.88	100%	100%	0.9994	0.9999	0.0005	0.9997	0x4fc19eea0e0b5ea7607a4527c1e7dd1b1fdbe3aa
110095	-1	0	1	262993.446539	99569.362932	362571.399067	0	362562.80947100004	157.00302638869636	1.30	15.81	64%	67%	0.9999	1.2000	0.0001	1.2000	0x02bb11ac6121de64fb931219712eb0073c182174
81960	-2	-1	1	46449.453409	20637.680788	67090.944392	0	67087.134197	29.044931773766045	1.30	15.80	100%	99%	0.9998	0.9999	0.0001	0.9999	0x4d2f4186fc6f6ef8814d0e2d07eb1af5d0bef0f4
100801	1	2	1	1841.535821	47451.440942	14099.549273	35191.173665	49292.976763	21.425166230504978	1.30	15.86	100%	100%	1.2001	1.2002	0.0001	1.2002	0x3c948a11c4d5462ace49a505ece7112531b16725
43038	-7	-2	5	3842.787082	2955.411145	391.462766	6405.499129	6798.198227	11.775100603272426	1.30	15.81	100%	100%	0.9993	0.9998	0.0005	0.9996	0x156e4293477d4371ce37eed4ba084b609e841bcc
91574	-4	-3	1	8678.676482	8756.081252	2041.404866	15391.185652	17434.757734	7.580726637885225	1.30	15.87	100%	100%	0.9996	0.9997	0.0001	0.9997	0xd7e20a009c543eb011774762dc3dd084e17883ff
101289	1	2	1	3911.444295	4340.234843	8251.13104	0	8251.679138	7.169487987521999	1.30	15.86	96%	92%	1.2001	1.2002	0.0001	1.2002	0xdf98f0e1fe7f717c579d605aad7908f634578a5d
81955	-2	-1	1	999.999999	447.218111	1447.300646	0	1447.21811	0.6288501246653109	1.30	15.86	46%	50%	0.9998	0.9999	0.0001	0.9999	0xc5659b1ddcf5f5c0d9e006ffa6d57f58e9ba51cb
